Protein Accession ID,Protein Name and Description,Alignment Length,Start Query,End Query,Start Hit,End Hit,Identity
UYV78297,gb|UYV78297.1| hypothetical protein LAZ67_16000889 [Cordylochernes scorpioides],324,28,350,1,320,125
UYV78297,gb|UYV78297.1| hypothetical protein LAZ67_16000889 [Cordylochernes scorpioides],150,13,162,625,773,54
XP_033610182,ref|XP_033610182.1| uncharacterized protein LOC111871520 isoform X2 [Cryptotermes secundus],324,28,350,1,291,123
UYV78357,gb|UYV78357.1| hypothetical protein LAZ67_16001064 [Cordylochernes scorpioides],320,6,325,5,322,127
UYV71281,gb|UYV71281.1| hypothetical protein LAZ67_8002486 [Cordylochernes scorpioides],329,22,342,100,427,120
XP_012137479,ref|XP_012137479.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Megachile rotundata],323,28,350,1,321,125
QQP41077,gb|QQP41077.1| Putative mariner transposase [Caligus rogercresseyi],315,23,337,4,318,134
CAF3543762,emb|CAF3543762.1| unnamed protein product [Rotaria sp. Silwood1],342,11,351,1,342,114
GFN97679,dbj|GFN97679.1| transposase [Plakobranchus ocellatus],352,2,351,5,353,133
GFW62577,dbj|GFW62577.1| mariner Mos1 transposase [Trichonephila clavipes],352,1,350,1,351,133
GFV52694,dbj|GFV52694.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],315,38,351,1,314,128
KAK3769406,gb|KAK3769406.1| hypothetical protein RRG08_009558 [Elysia crispata],353,2,351,5,354,133
XP_023241863,ref|XP_023241863.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],315,38,351,1,314,132
KAG7311516,gb|KAG7311516.1| hypothetical protein JYU34_002561 [Plutella xylostella],351,1,351,1,349,117
KAK3803860,gb|KAK3803860.1| hypothetical protein RRG08_029452 [Elysia crispata],350,2,350,13,362,131
KAG7295607,gb|KAG7295607.1| hypothetical protein JYU34_021876 [Plutella xylostella],351,1,351,1,349,118
CAF3398914,emb|CAF3398914.1| unnamed protein product [Rotaria sp. Silwood2],351,2,351,4,354,115
QQP35050,gb|QQP35050.1| Putative DD34D transposase [Caligus rogercresseyi] >gb|QQP40331.1| Putative DD34D transposase [Caligus rogercresseyi] >gb|QQP57899.1| Putative DD34D transposase [Caligus rogercresseyi],334,18,351,1,334,136
KMQ85139,gb|KMQ85139.1| histone-lysine n-methyltransferase setmar-like protein [Lasius niger],323,28,350,1,321,120
KAK3726988,gb|KAK3726988.1| hypothetical protein RRG08_057887 [Elysia crispata],353,2,351,5,354,133
KFD71791,gb|KFD71791.1| hypothetical protein M514_15901 [Trichuris suis],345,3,342,6,350,141
GFO02570,dbj|GFO02570.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,336,121
KAG7313511,gb|KAG7313511.1| hypothetical protein JYU34_000650 [Plutella xylostella],351,1,351,1,349,117
KAK3713107,gb|KAK3713107.1| hypothetical protein RRG08_036719 [Elysia crispata],350,2,350,13,362,130
KAL0861378,gb|KAL0861378.1| hypothetical protein ABMA27_008926 [Loxostege sticticalis],332,3,334,1,332,143
PNF42057,gb|PNF42057.1| Mariner Mos1 transposase [Cryptotermes secundus],351,1,350,1,345,128
KAG7312640,gb|KAG7312640.1| hypothetical protein JYU34_000962 [Plutella xylostella],351,1,351,1,349,117
GBP95891,dbj|GBP95891.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],350,2,351,7,318,125
XP_018341340,ref|XP_018341340.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex septentrionalis],350,1,349,79,418,120
KAK3798235,gb|KAK3798235.1| hypothetical protein RRG08_017150 [Elysia crispata],353,2,351,5,354,134
CAF4112563,emb|CAF4112563.1| unnamed protein product [Rotaria sp. Silwood2] >emb|CAF4690623.1| unnamed protein product [Rotaria sp. Silwood2],348,3,349,1,348,133
CAF4649607,emb|CAF4649607.1| unnamed protein product [Rotaria sp. Silwood2],351,2,351,4,354,115
XP_063380329,ref|XP_063380329.1| histone-lysine N-methyltransferase SETMAR-like [Cydia fagiglandana],325,3,326,1,325,131
UYV67063,"gb|UYV67063.1| GART, partial [Cordylochernes scorpioides]",285,5,288,583,866,121
CAF1234453,emb|CAF1234453.1| unnamed protein product [Rotaria sp. Silwood1] >emb|CAF1599754.1| unnamed protein product [Rotaria sp. Silwood1],342,11,351,1,342,114
CAF3661659,emb|CAF3661659.1| unnamed protein product [Rotaria sp. Silwood1],312,1,311,175,486,133
AAP51087,gb|AAP51087.1| transposase [Forficula auricularia],350,1,349,1,340,118
XP_050325732,ref|XP_050325732.1| histone-lysine N-methyltransferase SETMAR isoform X1 [Bactrocera neohumeralis],351,1,351,1,349,127
GBP74533,dbj|GBP74533.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],326,2,327,7,332,124
KAK3780875,gb|KAK3780875.1| hypothetical protein RRG08_052034 [Elysia crispata],350,2,350,13,362,129
GFO35618,dbj|GFO35618.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],333,4,317,9,341,124
XP_012151353,ref|XP_012151353.1| PREDICTED: putative uncharacterized protein FLJ37770 [Megachile rotundata],345,6,350,5,347,126
UYV66819,gb|UYV66819.1| hypothetical protein LAZ67_4002984 [Cordylochernes scorpioides],346,6,350,1,325,118
UYV66819,gb|UYV66819.1| hypothetical protein LAZ67_4002984 [Cordylochernes scorpioides],91,249,339,418,508,34
UYV60576,gb|UYV60576.1| hypothetical protein LAZ67_1001572 [Cordylochernes scorpioides],349,5,351,71,396,124
KAK3774924,gb|KAK3774924.1| hypothetical protein RRG08_007279 [Elysia crispata],353,2,351,5,354,135
CAH0766907,emb|CAH0766907.1| unnamed protein product [Diatraea saccharalis],344,1,343,1,341,119
GBP62413,dbj|GBP62413.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],310,42,351,1,310,123
QQP54345,gb|QQP54345.1| Putative DD34D transposase [Caligus rogercresseyi],334,18,351,1,334,135
AAO12864,gb|AAO12864.1| Ccmar2 transposase [Ceratitis capitata],350,1,349,1,340,119
XP_003702583,ref|XP_003702583.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Megachile rotundata],323,28,350,1,321,123
CAF1403876,emb|CAF1403876.1| unnamed protein product [Rotaria sp. Silwood1] >emb|CAF1663863.1| unnamed protein product [Rotaria sp. Silwood1],342,11,351,1,342,114
CAF2994402,emb|CAF2994402.1| unnamed protein product [Rotaria sp. Silwood2] >emb|CAF4364357.1| unnamed protein product [Rotaria sp. Silwood2],351,2,351,4,354,115
KAJ4426506,"gb|KAJ4426506.1| hypothetical protein ANN_27320, partial [Periplaneta americana]",348,3,350,207,535,126
GFW20504,dbj|GFW20504.1| mariner Mos1 transposase [Trichonephila clavipes],351,1,350,1,350,131
KAG7305658,gb|KAG7305658.1| hypothetical protein JYU34_009758 [Plutella xylostella],351,1,351,1,349,116
UYV70307,gb|UYV70307.1| hypothetical protein LAZ67_7002482 [Cordylochernes scorpioides],340,1,340,1,323,124
AAP51098,gb|AAP51098.1| transposase [Forficula auricularia] >gb|AAP51099.1| transposase [Forficula auricularia] >gb|AAP51100.1| transposase [Forficula auricularia],350,1,349,1,340,118
XP_018338858,ref|XP_018338858.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex septentrionalis],350,1,349,1,340,120
PNF23675,gb|PNF23675.1| Mariner Mos1 transposase [Cryptotermes secundus],347,5,351,20,363,120
XP_053411309,ref|XP_053411309.1| histone-lysine N-methyltransferase SETMAR-like [Nycticebus coucang] >ref|XP_053411310.1| histone-lysine N-methyltransferase SETMAR-like [Nycticebus coucang],353,1,351,1,353,118
CAF3196731,emb|CAF3196731.1| unnamed protein product [Rotaria sp. Silwood2],348,3,349,1,348,133
GFU32429,dbj|GFU32429.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],326,28,350,1,325,123
KAJ4449654,gb|KAJ4449654.1| hypothetical protein ANN_01058 [Periplaneta americana],314,2,313,288,600,133
UYV70821,gb|UYV70821.1| hypothetical protein LAZ67_8000735 [Cordylochernes scorpioides],340,1,339,1,320,121
GBP68251,dbj|GBP68251.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],326,2,327,7,332,124
BAP05477,dbj|BAP05477.1| transposase [Heteropoda venatoria],350,1,349,1,340,117
PAA64652,gb|PAA64652.1| hypothetical protein BOX15_Mlig033664g1 [Macrostomum lignano],351,1,350,1,351,125
QQP51330,gb|QQP51330.1| Mariner transposase [Caligus rogercresseyi],329,5,333,3,316,133
KAJ4425723,gb|KAJ4425723.1| hypothetical protein ANN_27919 [Periplaneta americana],345,2,344,124,467,140
XP_060623585,ref|XP_060623585.1| histone-lysine N-methyltransferase SETMAR-like isoform X2 [Anolis sagrei ordinatus],343,1,338,6,347,139
GFU92420,dbj|GFU92420.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,329,127
KAG7294995,gb|KAG7294995.1| hypothetical protein JYU34_022601 [Plutella xylostella],351,1,351,1,349,117
XP_025163701,ref|XP_025163701.1| histone-lysine N-methyltransferase SETMAR-like [Harpegnathos saltator],351,1,351,1,349,121
KAG7308967,gb|KAG7308967.1| hypothetical protein JYU34_004823 [Plutella xylostella],351,1,351,1,349,118
GFO17036,dbj|GFO17036.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],323,38,351,1,321,128
AAO12862,gb|AAO12862.1| Camar1 transposase [Chymomyza amoena],350,1,349,1,340,121
GFO20874,dbj|GFO20874.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],333,38,351,1,333,126
GFW53271,dbj|GFW53271.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],349,2,350,8,355,129
XP_048251006,ref|XP_048251006.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],290,38,327,6,295,120
UYV81053,gb|UYV81053.1| hypothetical protein LAZ67_19002656 [Cordylochernes scorpioides],357,1,351,663,1014,138
UYV81053,gb|UYV81053.1| hypothetical protein LAZ67_19002656 [Cordylochernes scorpioides],283,6,287,1,270,102
UYV65531,gb|UYV65531.1| hypothetical protein LAZ67_3004610 [Cordylochernes scorpioides],304,49,350,1,303,123
UYV65531,gb|UYV65531.1| hypothetical protein LAZ67_3004610 [Cordylochernes scorpioides],116,47,162,378,492,40
XP_025161796,ref|XP_025161796.1| histone-lysine N-methyltransferase SETMAR-like [Harpegnathos saltator],304,42,345,1,304,125
UYV61188,gb|UYV61188.1| hypothetical protein LAZ67_1003762 [Cordylochernes scorpioides],303,49,350,1,302,121
UYV61188,gb|UYV61188.1| hypothetical protein LAZ67_1003762 [Cordylochernes scorpioides],193,22,214,308,495,63
UYV84067,gb|UYV84067.1| hypothetical protein LAZ67_X001053 [Cordylochernes scorpioides],346,6,350,1,325,130
AAP51082,gb|AAP51082.1| transposase [Forficula auricularia],350,1,349,1,340,118
KAJ0179344,gb|KAJ0179344.1| hypothetical protein K1T71_005056 [Dendrolimus kikuchii],345,7,351,5,349,137
GFX70267,dbj|GFX70267.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],339,3,340,8,321,130
CAK1585544,emb|CAK1585544.1| unnamed protein product [Parnassius mnemosyne],351,1,351,1,349,121
KAI6660813,gb|KAI6660813.1| Transposase [Oopsacas minuta],350,1,350,1,349,137
CAF4259817,emb|CAF4259817.1| unnamed protein product [Rotaria sp. Silwood2],351,2,351,4,354,115
XP_045451016,ref|XP_045451016.1| histone-lysine N-methyltransferase SETMAR-like [Melitaea cinxia],310,43,351,5,314,142
XP_011049295,ref|XP_011049295.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior],339,3,340,15,333,127
KAF6382694,gb|KAF6382694.1| hypothetical protein mPipKuh1_009037 [Pipistrellus kuhlii],350,1,349,1,340,119
KAG7303062,gb|KAG7303062.1| hypothetical protein JYU34_013081 [Plutella xylostella],351,1,351,1,349,116
AAP51097,gb|AAP51097.1| transposase [Forficula auricularia],350,1,349,1,340,116
UYV64611,"gb|UYV64611.1| hypothetical protein LAZ67_3001306, partial [Cordylochernes scorpioides]",328,1,328,1,323,127
UYV64611,"gb|UYV64611.1| hypothetical protein LAZ67_3001306, partial [Cordylochernes scorpioides]",157,5,161,847,1002,62
KFD68789,gb|KFD68789.1| hypothetical protein M514_19030 [Trichuris suis],348,3,349,6,353,137
RUS76288,gb|RUS76288.1| hypothetical protein EGW08_015960 [Elysia chlorotica],313,29,341,1,312,135
KFD56881,gb|KFD56881.1| hypothetical protein M513_02138 [Trichuris suis],344,8,351,29,372,195
VVC37515,"emb|VVC37515.1| Transposase, type 1 [Cinara cedri]",334,1,333,1,333,120
KAF6382604,gb|KAF6382604.1| hypothetical protein mPipKuh1_008960 [Pipistrellus kuhlii],350,1,349,1,340,120
GFU74588,dbj|GFU74588.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],315,38,351,1,314,135
XP_031634629,"ref|XP_031634629.1| histone-lysine N-methyltransferase SETMAR-like, partial [Contarinia nasturtii]",351,1,351,1,349,130
KAF6273735,gb|KAF6273735.1| hypothetical protein mPipKuh1_010697 [Pipistrellus kuhlii],350,1,349,1,340,120
GFR76711,dbj|GFR76711.1| histone-lysine N-methyltransferase SETMAR [Elysia marginata],338,4,324,9,346,117
XP_054717601,ref|XP_054717601.1| histone-lysine N-methyltransferase SETMAR-like [Uloborus diversus],323,28,350,1,321,120
XP_045453244,ref|XP_045453244.1| histone-lysine N-methyltransferase SETMAR-like [Melitaea cinxia],334,3,333,1,334,141
KAK3798347,gb|KAK3798347.1| hypothetical protein RRG08_063361 [Elysia crispata],353,2,351,5,354,131
XP_025160422,ref|XP_025160422.1| histone-lysine N-methyltransferase SETMAR-like [Harpegnathos saltator],357,1,351,1,355,122
KAF6270333,gb|KAF6270333.1| hypothetical protein mPipKuh1_007989 [Pipistrellus kuhlii],350,1,349,1,340,120
KAJ4445447,gb|KAJ4445447.1| hypothetical protein ANN_07253 [Periplaneta americana],314,2,313,603,915,132
KAF6305307,gb|KAF6305307.1| hypothetical protein mPipKuh1_009200 [Pipistrellus kuhlii],350,1,349,1,340,119
KAG7306362,gb|KAG7306362.1| hypothetical protein JYU34_008987 [Plutella xylostella],351,1,351,1,349,117
AAO12863,gb|AAO12863.1| Famar1 transposase [Forficula auricularia],350,1,349,1,340,118
KFD49184,gb|KFD49184.1| hypothetical protein M513_09906 [Trichuris suis],344,8,351,29,370,192
KAI6659599,gb|KAI6659599.1| Transposase [Oopsacas minuta],350,1,350,1,349,137
AAP51086,gb|AAP51086.1| transposase [Forficula auricularia],350,1,349,1,340,118
UYV71490,gb|UYV71490.1| hypothetical protein LAZ67_8003487 [Cordylochernes scorpioides],324,6,328,1,307,125
AAP51093,gb|AAP51093.1| transposase [Forficula auricularia],350,1,349,1,340,118
AAP51096,gb|AAP51096.1| transposase [Forficula auricularia],350,1,349,1,340,118
BAP05478,dbj|BAP05478.1| transposase [Heteropoda venatoria],350,1,349,1,340,117
UYV78041,gb|UYV78041.1| hypothetical protein LAZ67_15003295 [Cordylochernes scorpioides],333,5,336,95,394,117
XP_026317450,ref|XP_026317450.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],352,1,351,1,349,120
XP_064481063,ref|XP_064481063.1| protein GVQW3-like [Ornithodoros turicata],351,1,350,1,343,130
UYV60812,gb|UYV60812.1| hypothetical protein LAZ67_1002404 [Cordylochernes scorpioides],322,19,339,946,1266,117
UYV79141,gb|UYV79141.1| hypothetical protein LAZ67_17001224 [Cordylochernes scorpioides],332,6,336,1,321,119
AAP51092,gb|AAP51092.1| transposase [Forficula auricularia],350,1,349,1,340,117
KAJ4433766,gb|KAJ4433766.1| hypothetical protein ANN_16078 [Periplaneta americana],351,2,351,246,563,133
AAP51083,gb|AAP51083.1| transposase [Forficula auricularia],350,1,349,1,340,118
AAP51084,gb|AAP51084.1| transposase [Forficula auricularia],350,1,349,1,340,117
KAJ4428910,gb|KAJ4428910.1| hypothetical protein ANN_25904 [Periplaneta americana],352,2,351,690,1020,132
UYV69146,gb|UYV69146.1| hypothetical protein LAZ67_6002588 [Cordylochernes scorpioides],346,7,351,94,438,119
XP_057699544,ref|XP_057699544.1| protein GVQW3-like [Corythoichthys intestinalis],345,7,350,38,381,133
KAJ4430008,"gb|KAJ4430008.1| hypothetical protein ANN_22216, partial [Periplaneta americana]",351,2,350,1364,1697,138
KAJ4430008,"gb|KAJ4430008.1| hypothetical protein ANN_22216, partial [Periplaneta americana]",77,18,94,2163,2238,27
KAK3800965,gb|KAK3800965.1| hypothetical protein RRG08_001213 [Elysia crispata],350,2,350,13,359,129
UYV71906,gb|UYV71906.1| hypothetical protein LAZ67_9001019 [Cordylochernes scorpioides],289,5,292,211,498,119
XP_030003909,ref|XP_030003909.1| histone-lysine N-methyltransferase SETMAR-like [Sphaeramia orbicularis],290,3,292,1,290,131
KAF6335379,gb|KAF6335379.1| hypothetical protein mPipKuh1_008062 [Pipistrellus kuhlii],350,1,349,1,340,119
APL98289,gb|APL98289.1| putative DD34D transposase [Bactrocera tryoni],346,6,350,3,347,116
QXJ78548,gb|QXJ78548.1| putative DD34D transposase [Kaburagia rhusicola],346,6,350,5,348,120
UYV69042,gb|UYV69042.1| DAAM2 [Cordylochernes scorpioides],298,7,303,553,849,127
BAP05479,dbj|BAP05479.1| transposase [Heteropoda venatoria],350,1,349,1,340,117
XP_025405831,ref|XP_025405831.1| protein GVQW3-like [Sipha flava],345,7,350,6,349,125
XP_048483622,ref|XP_048483622.1| histone-lysine N-methyltransferase SETMAR-like [Plutella xylostella],299,3,301,1,299,134
XP_018343021,ref|XP_018343021.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex septentrionalis],348,1,347,1,338,118
XP_026319407,ref|XP_026319407.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],342,11,351,1,339,120
KAG7301736,gb|KAG7301736.1| hypothetical protein JYU34_014723 [Plutella xylostella],351,1,351,1,349,117
UYV78250,gb|UYV78250.1| hypothetical protein LAZ67_16000683 [Cordylochernes scorpioides],323,5,322,262,578,124
AAP51091,gb|AAP51091.1| transposase [Forficula auricularia],350,1,349,1,340,117
UYV82482,gb|UYV82482.1| hypothetical protein LAZ67_21002404 [Cordylochernes scorpioides],271,81,350,1,270,103
XP_048252621,ref|XP_048252621.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],295,57,351,1,295,132
CAH2270042,emb|CAH2270042.1| jg17895 [Pararge aegeria aegeria],350,1,349,1,340,119
AAP51088,gb|AAP51088.1| transposase [Forficula auricularia],350,1,349,1,340,117
GFU06138,dbj|GFU06138.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],305,38,341,1,303,128
GBP26468,dbj|GBP26468.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],339,2,340,92,406,126
XP_018310440,"ref|XP_018310440.1| PREDICTED: LOW QUALITY PROTEIN: histone-lysine N-methyltransferase SETMAR-like, partial [Trachymyrmex zeteki]",344,8,351,2,343,119
UYV74676,gb|UYV74676.1| hypothetical protein LAZ67_12000499 [Cordylochernes scorpioides],282,35,315,160,440,117
XP_063394736,ref|XP_063394736.1| histone-lysine N-methyltransferase SETMAR-like [Cydia fagiglandana],320,4,323,11,330,136
UYV66015,gb|UYV66015.1| hypothetical protein LAZ67_3006192 [Cordylochernes scorpioides],294,49,341,1,293,123
AAP51089,gb|AAP51089.1| transposase [Forficula auricularia],350,1,349,1,340,117
GFU19618,"dbj|GFU19618.1| putative mariner transposase, partial [Nephila pilipes]",317,35,351,1,315,122
XP_025158379,ref|XP_025158379.1| histone-lysine N-methyltransferase SETMAR-like [Harpegnathos saltator],351,1,351,1,349,122
XP_055911087,ref|XP_055911087.1| histone-lysine N-methyltransferase SETMAR-like [Eupeodes corollae],351,3,350,1,351,131
UYV70795,gb|UYV70795.1| hypothetical protein LAZ67_8000653 [Cordylochernes scorpioides],358,1,349,1,355,129
KFD64336,gb|KFD64336.1| hypothetical protein M514_09906 [Trichuris suis],349,8,351,52,398,191
UYV71996,gb|UYV71996.1| hypothetical protein LAZ67_9001510 [Cordylochernes scorpioides],284,35,317,135,417,121
UYV71996,gb|UYV71996.1| hypothetical protein LAZ67_9001510 [Cordylochernes scorpioides],134,28,161,1,133,52
KAF6374223,gb|KAF6374223.1| hypothetical protein mPipKuh1_009456 [Pipistrellus kuhlii],350,1,349,1,340,120
UYV63353,gb|UYV63353.1| hypothetical protein LAZ67_2003826 [Cordylochernes scorpioides],311,41,351,1389,1698,135
UYV63353,gb|UYV63353.1| hypothetical protein LAZ67_2003826 [Cordylochernes scorpioides],277,85,348,69,307,52
AAP51090,gb|AAP51090.1| transposase [Forficula auricularia] >gb|AAP51094.1| transposase [Forficula auricularia],350,1,349,1,340,118
AAO12861,gb|AAO12861.1| Ammar1 transposase [Apis mellifera],350,1,349,1,340,117
KAJ4438157,gb|KAJ4438157.1| hypothetical protein ANN_14096 [Periplaneta americana],334,23,351,45,370,130
UYV70025,gb|UYV70025.1| hypothetical protein LAZ67_7001501 [Cordylochernes scorpioides],289,5,292,16,303,121
AAP51095,gb|AAP51095.1| transposase [Forficula auricularia],350,1,349,1,340,118
CAH1966315,emb|CAH1966315.1| unnamed protein product [Acanthoscelides obtectus] >emb|CAK1640362.1| Mariner Mos1 transposase [Acanthoscelides obtectus],361,1,351,1,352,116
KAF6276434,gb|KAF6276434.1| hypothetical protein mPipKuh1_010533 [Pipistrellus kuhlii],350,1,349,1,340,119
GFO16692,dbj|GFO16692.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],308,4,292,9,316,119
XP_035210258,ref|XP_035210258.1| histone-lysine N-methyltransferase SETMAR-like [Stegodyphus dumicola],303,2,303,7,308,128
XP_059052564,ref|XP_059052564.1| histone-lysine N-methyltransferase SETMAR-like [Achroia grisella],351,1,351,1,349,116
GBN59306,dbj|GBN59306.1| Histone-lysine N-methyltransferase SETMAR [Araneus ventricosus],326,29,351,1,322,131
UYV83278,gb|UYV83278.1| hypothetical protein LAZ67_23000391 [Cordylochernes scorpioides],303,49,350,1,286,121
XP_039602163,ref|XP_039602163.1| histone-lysine N-methyltransferase SETMAR-like [Polypterus senegalus],350,3,351,8,341,138
GFO17273,dbj|GFO17273.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],315,4,299,9,323,119
RUS88698,gb|RUS88698.1| hypothetical protein EGW08_003513 [Elysia chlorotica],314,29,342,1,313,132
GBP91582,dbj|GBP91582.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],337,2,338,7,319,125
UYV70838,gb|UYV70838.1| hypothetical protein LAZ67_8000791 [Cordylochernes scorpioides],313,28,339,1,312,115
BAP05473,dbj|BAP05473.1| transposase [Cyphononyx dorsalis],350,1,349,1,340,115
UYV79918,gb|UYV79918.1| hypothetical protein LAZ67_18001073 [Cordylochernes scorpioides],322,1,318,260,581,127
UYV79918,gb|UYV79918.1| hypothetical protein LAZ67_18001073 [Cordylochernes scorpioides],175,70,241,57,229,47
UYV79918,gb|UYV79918.1| hypothetical protein LAZ67_18001073 [Cordylochernes scorpioides],56,284,339,168,223,20
XP_026319191,ref|XP_026319191.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],342,11,351,1,339,118
GFW98758,dbj|GFW98758.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],324,3,326,8,330,128
XP_018311644,"ref|XP_018311644.1| PREDICTED: LOW QUALITY PROTEIN: histone-lysine N-methyltransferase SETMAR-like, partial [Trachymyrmex zeteki]",344,8,351,2,341,119
UYV79402,gb|UYV79402.1| hypothetical protein LAZ67_17002480 [Cordylochernes scorpioides],355,1,351,249,584,129
UYV79402,gb|UYV79402.1| hypothetical protein LAZ67_17002480 [Cordylochernes scorpioides],101,54,150,97,197,32
GFR61372,dbj|GFR61372.1| transposase [Elysia marginata],343,4,345,15,357,123
CAI6342838,emb|CAI6342838.1| unnamed protein product [Macrosiphum euphorbiae],312,1,311,6,316,135
BAP05481,dbj|BAP05481.1| transposase [Polistes formosanus] >dbj|BAP05483.1| transposase [Polistes formosanus],350,1,349,1,340,117
KAG7307344,gb|KAG7307344.1| hypothetical protein JYU34_007523 [Plutella xylostella],351,1,351,1,349,114
GBP30235,dbj|GBP30235.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],350,2,351,7,314,124
GFY15182,dbj|GFY15182.1| mariner Mos1 transposase [Trichonephila clavipes],350,1,349,1,340,118
UYV83859,gb|UYV83859.1| hypothetical protein LAZ67_X000450 [Cordylochernes scorpioides],304,49,351,21,323,115
UYV80207,gb|UYV80207.1| hypothetical protein LAZ67_18002011 [Cordylochernes scorpioides],306,1,302,296,600,125
UYV80207,gb|UYV80207.1| hypothetical protein LAZ67_18002011 [Cordylochernes scorpioides],285,6,288,1,271,98
XP_046683694,ref|XP_046683694.1| histone-lysine N-methyltransferase SETMAR-like [Homalodisca vitripennis],319,33,351,12,323,130
MEE4247654,gb|MEE4247654.1| transposase [Kangiellaceae bacterium],351,1,350,1,351,125
XP_026330956,ref|XP_026330956.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],342,11,351,1,339,120
UYV70749,gb|UYV70749.1| hypothetical protein LAZ67_8000463 [Cordylochernes scorpioides],340,1,339,1,320,120
UYV78708,gb|UYV78708.1| hypothetical protein LAZ67_16002504 [Cordylochernes scorpioides],316,5,319,1556,1870,129
XP_061705471,ref|XP_061705471.1| histone-lysine N-methyltransferase SETMAR-like [Cydia pomonella] >ref|XP_061713231.1| histone-lysine N-methyltransferase SETMAR-like [Cydia pomonella] >ref|XP_061716713.1| histone-lysine N-methyltransferase SETMAR-like [Cydia pomonella],352,1,351,1,352,119
GFR70086,dbj|GFR70086.1| histone-lysine N-methyltransferase SETMAR [Elysia marginata],342,7,331,75,415,118
XP_063387179,ref|XP_063387179.1| histone-lysine N-methyltransferase SETMAR-like [Cydia fagiglandana],296,32,327,4,299,132
UYV82429,"gb|UYV82429.1| hypothetical protein LAZ67_21002095, partial [Cordylochernes scorpioides]",310,44,350,26,334,113
AAP51085,gb|AAP51085.1| transposase [Forficula auricularia],350,1,349,1,340,116
KAF6268489,gb|KAF6268489.1| hypothetical protein mPipKuh1_008220 [Pipistrellus kuhlii],350,1,349,1,340,117
XP_012143528,ref|XP_012143528.1| PREDICTED: putative uncharacterized protein FLJ37770 [Megachile rotundata],323,5,327,4,324,124
UYV61965,gb|UYV61965.1| hypothetical protein LAZ67_1007210 [Cordylochernes scorpioides],287,49,334,1,286,117
GFV65679,dbj|GFV65679.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],315,38,351,1,313,136
GFN90526,dbj|GFN90526.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],319,38,337,1,319,120
VVC46375,"emb|VVC46375.1| Transposase, type 1,Homeobox domain-like,Winged helix-turn-helix DNA-binding domain,Transcription [Cinara cedri]",347,6,350,20,366,124
XP_034184988,ref|XP_034184988.1| histone-lysine N-methyltransferase SETMAR-like [Osmia lignaria],352,1,351,1,351,125
UYV68939,gb|UYV68939.1| hypothetical protein LAZ67_6001728 [Cordylochernes scorpioides],311,14,322,1430,1739,124
XP_045457151,ref|XP_045457151.1| histone-lysine N-methyltransferase SETMAR-like [Melitaea cinxia],323,29,351,4,306,132
UYV79403,gb|UYV79403.1| K02A2.6-like [Cordylochernes scorpioides],304,49,351,1,301,127
XP_061792327,ref|XP_061792327.1| protein GVQW3-like [Nerophis lumbriciformis],345,7,350,24,367,132
BAP05476,dbj|BAP05476.1| transposase [Heteropoda venatoria],350,1,349,1,340,115
